occurrence_id,source_type,ADM0_NAME,ISO_code,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,Location_name,lat,long,Geo_reliability,max_year,N_positive,higher_taxon,lower_taxon,Sample_type,PCR_Test,ER_result,KR_result,IS2404_result,16SrRNAresults,16S_23S ITS,IS2606_result,VNTR_MIRU_result_MU,VNTR_result_MPM,qPCR_confirmed,other tests,other results,MU_confirmed,Record_number
BU_env_US_116,LIT,Togo,TGO,Maritime,TGO.3_1,,,Fongbe Apedome ,6.475506828,1.340875844,,2015,1,,water/soil/plant,aquatic non-animal,"IS2404, IS2606 + KR-B by qPCR",,positive,positive,,,positive,na,,yes,,,yes,9102
BU_env_US_117,LIT,Togo,TGO,Maritime,TGO.3_1,,,Fongbe Boeti,6.458451948,1.337559421,,2015,1,,water/soil/plant,aquatic non-animal,"IS2404, IS2606 + KR-B by qPCR",,positive,positive,,,positive,na,,yes,,,yes,9102
BU_env_US_118,LIT,Togo,TGO,Maritime,TGO.3_1,,,Fongbe zogbedji,6.454484254,1.34226548,,2015,1,,soil,aquatic non-animal,"IS2404, IS2606 and KR",,negative,positive,,,positive,na,,negative,,,no,9102
BU_env_US_119,LIT,Togo,TGO,Maritime,TGO.3_1,,,Gape Agacope,6.699014,0.983134,,2015,1,,soil,aquatic non-animal,"IS2404, IS2606 and KR",,negative,positive,,,positive,na,,negative,,,no,9102
BU_env_US_120,LIT,Togo,TGO,Maritime,TGO.3_1,,,Gape Kpodji,,,,2015,1,,water,aquatic non-animal,"IS2404, IS2606 and KR",,negative,positive,,,positive,na,,negative,,,no,9102
BU_env_US_121,LIT,Togo,TGO,Maritime,TGO.3_1,,,Kodzo,,,,2015,1,,soil,aquatic non-animal,"IS2404, IS2606 and KR",,negative,positive,,,negative,na,,negative,,,no,9102
BU_env_US_122,LIT,Togo,TGO,Maritime,TGO.3_1,,,Tchekpo Anagali,6.508333246,1.361230901,,2015,1,,water/soil/animal faeces,aquatic non-animal,"IS2404, IS2606 and KR",,negative,positive,,,negative,na,,negative,,,no,9102
BU_env_US_123,LIT,Togo,TGO,Maritime,TGO.3_1,,,Tchekpo Dedekpoe,6.53518,1.3601589,,2015,1,,soil,aquatic non-animal,"IS2404, IS2606 and KR",,negative,positive,,,negative,na,,negative,,,no,9102
BU_env_US_124,LIT,Togo,TGO,Maritime,TGO.3_1,,,Tchekpo Deve,6.4831608,1.3683128,,2015,1,,water/ plant,aquatic non-animal,"IS2404, IS2606 and KR",,negative,positive,,,negative,na,,negative,,,no,9102
BU_env_US_125,LIT,Togo,TGO,Maritime,TGO.3_1,,,Yobo Sedjro,6.408369,1.365851,,2015,2,,soil,aquatic non-animal,"IS2404, IS2606 + KR-B by qPCR",,positive,positive,,,positive,na,,yes,,,yes,9102
